time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-12-06T16:03:46.413Z,38.7782,70.8845,10,4.7,mb,86,61,0.997,0.35,us,us6000j7d0,2022-12-06T16:52:23.040Z,"52 km ESE of Rasht, Tajikistan",earthquake,3.39,1.852,0.049,126,reviewed,us,us
2022-12-05T03:02:53.801Z,19.144,89.8438,10,5.2,mb,81,49,5.972,0.63,us,us6000j6yh,2022-12-05T12:34:56.912Z,"Bay of Bengal",earthquake,7.84,1.816,0.052,125,reviewed,us,us
2022-12-03T06:24:03.979Z,34.3563,85.1656,10,4.6,mb,54,79,6.532,0.57,us,us6000j6iu,2022-12-03T06:45:13.040Z,"",earthquake,6.06,1.799,0.105,27,reviewed,us,us
2022-12-03T01:21:39.105Z,35.2666,71.2051,93.95,4.5,mb,29,130,1.919,0.65,us,us6000j6hi,2022-12-03T01:41:35.040Z,"29 km NNW of ?sm?r, Afghanistan",earthquake,8.23,9.176,0.15,13,reviewed,us,us
2022-11-29T06:31:01.520Z,40.2278,77.1252,10,4.8,mb,80,57,1.586,0.42,us,us7000it7f,2022-12-03T09:19:07.242Z,"128 km NE of Kashgar, China",earthquake,5.03,1.67,0.062,80,reviewed,us,us
2022-11-29T05:33:48.543Z,36.5621,69.8619,10,4.6,mb,81,39,0.803,0.58,us,us7000it74,2022-12-03T09:31:21.040Z,"1 km SSE of Farkh?r, Afghanistan",earthquake,4.79,1.728,0.071,59,reviewed,us,us
2022-11-27T19:58:42.492Z,39.5316,74.3448,10,4.9,mb,52,43,1.808,1.07,us,us7000issn,2022-11-27T20:28:27.102Z,"southern Xinjiang, China",earthquake,5.5,1.865,0.066,73,reviewed,us,us
2022-11-23T08:45:18.130Z,36.5152,70.6088,200.696,4.5,mb,60,71,0.61,0.73,us,us7000irs3,2022-11-30T08:36:33.040Z,"",earthquake,7.65,5.627,0.063,74,reviewed,us,us
2022-11-22T04:35:48.715Z,36.186,77.8163,85.634,4.5,mb,55,98,4.512,0.48,us,us7000irg7,2022-11-28T23:47:34.040Z,"Southern Xinjiang, China",earthquake,8.9,6.837,0.102,28,reviewed,us,us
2022-11-21T13:34:30.103Z,39.5212,72.7472,8.684,4.6,mb,38,51,0.735,0.63,us,us7000irax,2022-11-27T21:09:57.040Z,"41 km E of Kyzyl-Eshme, Kyrgyzstan",earthquake,4.18,5.264,0.141,18,reviewed,us,us
2022-11-21T05:36:59.444Z,37.9628,72.7821,145.322,4.5,mb,55,104,1.697,0.65,us,us7000ir9r,2022-11-21T20:39:01.040Z,"",earthquake,7.17,8.02,0.09,36,reviewed,us,us
2022-11-18T06:13:18.603Z,33.4826,81.7097,10,4.5,mb,26,85,6.444,0.6,us,us7000iruj,2022-11-27T14:03:07.040Z,"western Xizang",earthquake,6.22,1.903,0.151,13,reviewed,us,us
2022-11-15T10:53:41.511Z,37.5738,78.0498,10,4.6,mb,32,127,3.95,0.37,us,us7000ipuq,2022-11-16T10:15:04.040Z,"71 km WNW of Zangguy, China",earthquake,9.39,1.932,0.181,9,reviewed,us,us
2022-11-12T14:27:05.067Z,29.3296,81.1677,10,5.2,mww,104,44,3.924,0.65,us,us7000ipbc,2022-11-13T01:41:56.818Z,"23 km ENE of Dipayal, Nepal",earthquake,8.46,1.749,0.098,10,reviewed,us,us
2022-11-12T07:08:11.149Z,36.5158,71.1766,83.718,4.6,mb,46,105,0.776,0.61,us,us7000ip8g,2022-11-24T13:36:38.040Z,"36 km WSW of Ashk?sham, Afghanistan",earthquake,6.9,7.079,0.1,30,reviewed,us,us
2022-11-10T05:01:05.611Z,28.3835,94.4118,15,5.5,mww,182,35,6.722,0.5,us,us7000inqd,2022-12-08T11:27:38.165Z,"16 km SSE of Shi Yomi, India",earthquake,8.34,1.843,0.089,12,reviewed,us,us
2022-11-09T20:59:12.045Z,7.3617,94.2277,9.31,4.7,mb,73,77,3.435,0.61,us,us7000inn2,2022-11-22T18:35:09.040Z,"202 km NW of Sabang, Indonesia",earthquake,4,3.626,0.076,52,reviewed,us,us
2022-11-08T20:27:23.199Z,29.2977,81.1564,16.326,5.7,mww,268,13,3.921,0.67,us,us7000incn,2022-12-07T19:01:14.033Z,"21 km E of Dipayal, Nepal",earthquake,7.25,2.472,0.057,30,reviewed,us,us
2022-11-08T15:22:35.956Z,29.3648,81.2072,10,4.7,mb,56,80,3.905,0.69,us,us7000inan,2022-11-15T14:36:59.784Z,"28 km ENE of Dipayal, Nepal",earthquake,8.68,1.834,0.088,42,reviewed,us,us
2022-11-08T06:27:02.122Z,23.0649,94.5122,105.393,4.7,mb,77,54,3.272,0.39,us,us7000in8j,2022-11-14T08:18:28.578Z,"64 km S of Mawlaik, Myanmar",earthquake,3.05,6.686,0.066,69,reviewed,us,us
2022-11-07T03:25:21.878Z,37.0042,71.0891,76.725,5.5,mb,89,45,0.428,0.54,us,us7000imzu,2022-11-17T00:35:56.442Z,"Afghanistan-Tajikistan border region",earthquake,8.45,4.497,0.032,334,reviewed,us,us
2022-11-06T03:56:31.223Z,40.7524,63.3658,10,4.5,mb,35,112,4.828,0.98,us,us7000imu2,2022-12-02T23:04:45.040Z,"69 km N of Gazli, Uzbekistan",earthquake,9.59,1.908,0.171,10,reviewed,us,us
2022-11-06T03:03:03.944Z,30.7102,78.5669,22.322,4.6,mb,53,100,5.364,0.75,us,us7000imtm,2022-12-02T22:56:06.338Z,"12 km E of Uttark?shi, India",earthquake,8.67,1.881,0.098,31,reviewed,us,us
2022-11-02T09:13:25.278Z,41.6811,92.6237,10,4.9,mb,102,51,9.005,0.47,us,us7000ilxs,2022-11-13T06:32:19.556Z,"147 km SSW of Hami, China",earthquake,8.63,1.874,0.063,78,reviewed,us,us
2022-11-01T22:06:54.963Z,33.1963,92.0137,10,5,mb,57,72,6.881,0.62,us,us7000iltn,2022-11-28T01:43:44.040Z,"190 km N of Nagqu, China",earthquake,9.96,1.842,0.055,106,reviewed,us,us
2022-11-01T13:48:21.193Z,32.9696,86.7743,10,4.9,mb,95,42,4.995,0.57,us,us7000ilpj,2022-11-07T20:05:02.040Z,"",earthquake,3.77,1.752,0.053,115,reviewed,us,us
2022-11-01T13:09:49.581Z,19.6848,94.5597,68.26,4.6,mb,83,76,1.489,0.4,us,us7000ilpd,2022-11-07T19:17:43.040Z,"64 km SSW of Minbu, Myanmar",earthquake,8.91,6.409,0.059,89,reviewed,us,us
